longitude,latitude,deff
-153.47,61.55,-14
-154.34,61.648,-19
-153.49,61.552,-1
-154.04,61.615,0.1
-153.67,61.573,8.3
-154,61.611,-7
-153.52,61.557,-10
-153.51,61.555,1.8
-154,61.611,-9
-153.67,61.573,8.1
-153.45,61.548,-11
-154.05,61.617,-23
-153.6,61.566,13
-153.95,61.606,-26
-153.46,61.55,-4
-154.39,61.655,1.2
-153.75,61.583,-2
-153.35,61.537,21
-153.48,61.553,-5
-153.91,61.601,-21
-153.49,61.553,-12
-153.42,61.546,-6
-153.52,61.557,8.1
-154.38,61.653,1.2
-153.47,61.551,-21
-154.25,61.64,-27
-153.67,61.574,3.9
-154.05,61.618,-26
-154.43,61.659,-10
-153.69,61.577,7.5
-153.58,61.565,-8
-154.04,61.616,-2
-154.22,61.637,-9
-153.66,61.574,-2
-154.05,61.618,-21
-153.42,61.546,-4
-153.67,61.575,2.2
-154.22,61.637,-2
-153.36,61.539,25
-154.33,61.649,-19
-153.52,61.558,-11
-153.7,61.579,16
-154.05,61.619,-25
-154.4,61.656,-5
-153.62,61.57,7.7
-153.69,61.578,6.4
-153.74,61.583,5.4
-153.49,61.555,-32
-153.4,61.544,4.2
-154.04,61.618,-3
-153.69,61.578,-0
-153.36,61.54,0.1
-153.32,61.535,65
-154.33,61.649,-14
-154.07,61.621,-1
-154.07,61.621,-6
-153.52,61.559,6.2
-153.69,61.578,-8
-153.32,61.536,58
-153.69,61.578,6.2
-153.49,61.556,-26
-153.99,61.613,-8
-154.4,61.657,4.4
-153.81,61.592,-1
-154,61.613,-3
-154.07,61.621,-2
-153.45,61.55,-16
-153.77,61.588,-4
-154.33,61.651,-18
-153.49,61.555,3.7
-153.49,61.556,-21
-154.41,61.659,8.1
-154.07,61.621,-11
-153.44,61.55,-26
-153.49,61.556,-30
-153.73,61.584,0.2
-153.73,61.584,-7
-154.04,61.619,-3
-153.87,61.6,-43
-154.38,61.656,-4
-154.32,61.65,-11
-154.12,61.628,21
-153.6,61.569,6.2
-153.56,61.564,8.9
-153.71,61.581,8.9
-154.31,61.649,-14
-154.31,61.649,-14
-153.93,61.606,-31
-153.81,61.593,-6
-154.05,61.62,-6
-153.33,61.537,30
-154.07,61.622,-14
-153.48,61.556,1.6
-154.38,61.656,-1
-153.41,61.547,-6
-153.62,61.571,16
-154.07,61.622,-6
-154.25,61.642,-32
-153.49,61.557,-11
-154.12,61.629,22
-154.05,61.62,-4
-154.32,61.65,-9
-154.06,61.622,-24
-154.07,61.623,-5
-154.33,61.652,7.6
-153.39,61.546,-12
-153.99,61.615,-8
-153.41,61.548,3.5
-154.44,61.664,-10
-153.69,61.58,-2
-153.54,61.564,-16
-153.57,61.566,4.4
-153.75,61.588,-6
-153.68,61.58,-4
-153.39,61.546,-15
-154.07,61.624,-15
-154.05,61.622,-20
-154.14,61.631,12
-154.06,61.622,-18
-154.37,61.657,2.1
-154.25,61.644,-25
-154.22,61.641,0.1
-153.6,61.57,10
-154.07,61.624,-1
-154.07,61.624,-2
-154.01,61.617,-6
